SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-13-2023,Single Family Residential,4952 Corkwood Ln,Irvine,CA,92612,1570000,3,3,UP - University Park,2389,3600,1974,,657,170,Sold,,,https://www.redfin.com/CA/Irvine/4952-Corkwood-Ln-92612/home/4708427,CRMLS,OC23077069,N,Y,33.659607,-117.8104323
PAST SALE,August-2-2023,Townhouse,51 Wellesley #51,Irvine,CA,92612,1050000,2,3,UT - University Town Center,1447,,1983,,726,389,Sold,,,https://www.redfin.com/CA/Irvine/51-Wellesley-92612/unit-51/home/5678877,CRMLS,WS23118080,N,Y,33.6515958,-117.8259985
PAST SALE,July-26-2023,Condo/Co-op,19 Rana #49,Irvine,CA,92612,1275000,3,2.5,SJ - Rancho San Joaquin,1819,,1975,,701,555,Sold,,,https://www.redfin.com/CA/Irvine/19-Rana-92612/unit-49/home/5431793,CRMLS,OC23116206,N,Y,33.6590002,-117.8284647
PAST SALE,July-18-2023,Condo/Co-op,65 Greenhouse,Irvine,CA,92603,1348000,2,2.5,TRG - Turtle Ridge,1116,,2003,,1208,246,Sold,,,https://www.redfin.com/CA/Irvine/65-Greenhouse-92603/home/5943241,CRMLS,NP23109396,N,Y,33.6223746,-117.8224241
PAST SALE,May-22-2023,Single Family Residential,3871 Cedron St,Irvine,CA,92606,1300000,4,2.5,WN - Walnut (Irvine),1897,5000,1972,,685,55,Sold,,,https://www.redfin.com/CA/Irvine/3871-Cedron-St-92606/home/4674023,CRMLS,OC23021618,N,Y,33.7026926,-117.7926159
PAST SALE,July-14-2023,Single Family Residential,49 Saddlehorn,Irvine,CA,92602,3850000,5,4.5,OH - Orchard Hills,4237,9146,2016,,909,289,Sold,,,https://www.redfin.com/CA/Irvine/49-Saddlehorn-92602/home/58553643,CRMLS,OC23111064,N,Y,33.7463283,-117.7623965
PAST SALE,August-9-2023,Condo/Co-op,196 TERRAPIN,Irvine,CA,92618,1240000,3,3,GP - Great Park,1866,2000,2018,,665,490,Sold,,,https://www.redfin.com/CA/Irvine/196-Terrapin-92618/home/169481616,CRMLS,OC23126725,N,Y,33.681215,-117.7380769
PAST SALE,July-28-2023,Condo/Co-op,84 Henson,Irvine,CA,92620,1867000,4,3,EASTW - Eastwood,2246,,2017,,831,125,Sold,,,https://www.redfin.com/CA/Irvine/84-Henson-92620/home/167401913,CRMLS,OC23117699,N,Y,33.713102,-117.748804
PAST SALE,July-18-2023,Condo/Co-op,75 Bronze Leaf,Irvine,CA,92620,1228000,3,3,CV - Cypress Village,1538,,2014,,798,362,Sold,,,https://www.redfin.com/CA/Irvine/75-Bronze-Leaf-92620/home/112719207,CRMLS,OC23118836,N,Y,33.6816131,-117.7557772
PAST SALE,July-3-2023,Condo/Co-op,261 Magnet,Irvine,CA,92618,1080000,3,3.5,GP - Great Park,1790,,2017,,603,457,Sold,,,https://www.redfin.com/CA/Irvine/261-Magnet-92618/home/169481894,CRMLS,OC23092935,N,Y,33.6847455,-117.7408623
